"tract","Name","Household_Income_rP_gF_pall"
6037534802,"Huntington Park, CA",40429
6037199201,"Montecito Heights, Los Angeles, CA",40426
6037190201,"Central LA, Los Angeles, CA",40395
6037550300,"Norwalk, CA",40374
6037603900,"Lawndale, CA",40368
6037302401,"Tropico, Glendale, CA",40326
6037530301,"East Los Angeles, CA",40303
6037212306,"Central LA, Los Angeles, CA",40239
6037197500,"Echo Park, Los Angeles, CA",40234
6037183101,"Eagle Rock, Los Angeles, CA",40161
6037201200,"Northeast Los Angeles, Los Angeles, CA",40134
6037192510,"Central LA, Los Angeles, CA",40100
6037183510,"Northeast Los Angeles, Los Angeles, CA",40025
6037533106,"Huntington Park, CA",39964
6037195803,"Silver Lake, Los Angeles, CA",39931
6037190402,"Central LA, Los Angeles, CA",39924
6037552001,"Norwalk, CA",39904
6037530202,"South Montebello, Montebello, CA",39860
6037532500,"Huntington Park, CA",39832
6037275500,"Culver City, CA",39749
6037273402,"Venice, Los Angeles, CA",39724
6037211121,"Central LA, Los Angeles, CA",39662
6037221210,"Central LA, Los Angeles, CA",39591
6037192620,"Central LA, Los Angeles, CA",39590
6037214503,"Central LA, Los Angeles, CA",39550
6037602404,"Hawthorne, CA",39533
6037191500,"Central LA, Los Angeles, CA",39532
6037535901,"South Gate, CA",39478
6037199800,"Northeast Los Angeles, Los Angeles, CA",39469
6037535702,"South Gate, CA",39458
6037536103,"South Gate, CA",39441
6037212610,"Central LA, Los Angeles, CA",39357
6037215102,"Central LA, Los Angeles, CA",39338
6037502301,"Whittier, CA",39330
6037532002,"South Montebello, Montebello, CA",39319
6037183610,"Highland Park, Los Angeles, CA",39299
6037195902,"Silver Lake, Los Angeles, CA",39296
6037550201,"Norwalk, CA",39289
6037273800,"Venice, Los Angeles, CA",39282
6037535701,"South Gate, CA",39239
6037199110,"Montecito Heights, Los Angeles, CA",39236
6037272201,"Mar Vista, Los Angeles, CA",39187
6037197420,"Echo Park, Los Angeles, CA",39170
6037201501,"Northeast Los Angeles, Los Angeles, CA",39169
6037209520,"Central LA, Los Angeles, CA",39166
6037553701,"Paramount, CA",39163
6037500900,"El Rancho, Pico Rivera, CA",39144
6037701801,"Pico, Santa Monica, CA",39142
6037534700,"Huntington Park, CA",39112
6037216200,"Central LA, Los Angeles, CA",39073
6037302302,"Pacific - Edison, Glendale, CA",39016
6037531902,"South Montebello, East Los Angeles, CA",39013
6037500700,"El Rancho, Pico Rivera, CA",38990
6037221820,"Jefferson, Los Angeles, CA",38973
6037273600,"Venice, Los Angeles, CA",38928
6037211802,"Central LA, Los Angeles, CA",38892
6037190510,"Central LA, Los Angeles, CA",38841
6037531603,"East Los Angeles, CA",38836
6037186403,"Atwater Village, Los Angeles, CA",38834
6037197410,"Echo Park, Los Angeles, CA",38834
6037553300,"Bellflower, CA",38832
6037190902,"Central LA, Los Angeles, CA",38815
6037601402,"Inglewood, CA",38801
6037540501,"Lynwood, CA",38773
6037211921,"Central LA, Los Angeles, CA",38732
6037219500,"South Los Angeles, Los Angeles, CA",38713
6037551201,"Downey, CA",38684
6037535802,"South Gate, CA",38675
6037532303,"South Montebello, Commerce, CA",38652
6037535605,"South Gate, CA",38648
6037533403,"Maywood, CA",38647
6037224700,"South Los Angeles, Los Angeles, CA",38628
6037191201,"Central LA, Los Angeles, CA",38628
6037201503,"Northeast Los Angeles, Los Angeles, CA",38613
6037191203,"Central LA, Los Angeles, CA",38597
6037601700,"Inglewood, CA",38547
6037603001,"Gardena, CA",38535
6037601202,"Inglewood, CA",38511
6037534502,"Huntington Park, CA",38490
6037190401,"Central LA, Los Angeles, CA",38474
6037553504,"Paramount, CA",38437
6037532606,"Huntington Park, CA",38437
6037201110,"Northeast Los Angeles, Los Angeles, CA",38405
6037201301,"Montecito Heights, Los Angeles, CA",38389
6037211120,"Central LA, Los Angeles, CA",38306
6037224410,"South Los Angeles, Los Angeles, CA",38300
6037201401,"Northeast Los Angeles, Los Angeles, CA",38291
6037125200,"North Hollywood, Los Angeles, CA",38248
6037190801,"Central LA, Los Angeles, CA",38241
6037208802,"Central LA, Los Angeles, CA",38232
6037269903,"Palms, Los Angeles, CA",38226
6037187200,"Echo Park, Los Angeles, CA",38082
6037269906,"Palms, Los Angeles, CA",38076
6037530302,"South Montebello, East Los Angeles, CA",38066
6037203500,"Boyle Heights, Los Angeles, CA",38049
6037212305,"Central LA, Los Angeles, CA",38035
6037211910,"Central LA, Los Angeles, CA",38002
6037531102,"Los Angeles, CA",37998
6037533501,"Huntington Park, CA",37989
6037185202,"Mount Washington, Los Angeles, CA",37964
6037551101,"Downey, CA",37944
6037211922,"Central LA, Los Angeles, CA",37939
6037533702,"Maywood, CA",37925
6037533001,"South Los Angeles, Los Angeles, CA",37912
6037302506,"Adams Hill, Glendale, CA",37858
6037191204,"Central LA, Los Angeles, CA",37855
6037213402,"Central LA, Los Angeles, CA",37837
6037221900,"South Los Angeles, Los Angeles, CA",37823
6037602106,"Hawthorne, CA",37811
6037212620,"Central LA, Los Angeles, CA",37767
6037201504,"Northeast Los Angeles, Los Angeles, CA",37761
6037192520,"Central LA, Los Angeles, CA",37752
6037271200,"Sawtelle, Los Angeles, CA",37743
6037533901,"South Montebello, Bell Gardens, CA",37705
6037183220,"Northeast Los Angeles, Los Angeles, CA",37670
6037192700,"Central LA, Los Angeles, CA",37661
6037269905,"Palms, Los Angeles, CA",37638
6037535607,"South Gate, CA",37607
6037218120,"Central LA, Los Angeles, CA",37601
6037208620,"Central LA, Los Angeles, CA",37579
6037534406,"Cudahy, CA",37578
6037269700,"Beverlywood, Los Angeles, CA",37575
6037533805,"Bell, CA",37545
6037533203,"Huntington Park, CA",37539
6037277200,"Westchester, Los Angeles, CA",37529
6037213201,"Central LA, Los Angeles, CA",37492
6037540300,"Lynwood, CA",37458
6037207301,"Central LA, Los Angeles, CA",37388
6037183221,"Northeast Los Angeles, Los Angeles, CA",37379
6037211320,"Central LA, Los Angeles, CA",37333
6037540101,"Lynwood, CA",37266
