"tract","Name","Incarceration_Rate_rP_gP_p25"
6037603704,"Hawthorne, CA",0.018
6037502801,"Santa Fe Springs, CA",0.018
6037541604,"Compton, CA",0.018
6037500800,"El Rancho, Pico Rivera, CA",0.018
6037462700,"Mid Central, Pasadena, CA",0.0179
6037195901,"Silver Lake, Los Angeles, CA",0.0178
6037553503,"Paramount, CA",0.0178
6037269903,"Palms, Los Angeles, CA",0.0178
6037533803,"Bell, CA",0.0177
6037541200,"Compton, CA",0.0177
6037227020,"South Los Angeles, Los Angeles, CA",0.0177
6037143400,"Studio City, Los Angeles, CA",0.0176
6037191120,"Central LA, Los Angeles, CA",0.0176
6037186100,"Eagle Rock, Los Angeles, CA",0.0175
6037481102,"San Gabriel, CA",0.0175
6037602105,"Hawthorne, CA",0.0175
6037481001,"Alhambra, CA",0.0175
6037190202,"Central LA, Los Angeles, CA",0.0175
6037462100,"North Central, Pasadena, CA",0.0174
6037216200,"Central LA, Los Angeles, CA",0.0174
6037534203,"South Montebello, Bell Gardens, CA",0.0174
6037195802,"Central LA, Los Angeles, CA",0.0173
6037212900,"Central LA, Los Angeles, CA",0.0172
6037603801,"Lawndale, CA",0.0172
6037532605,"Huntington Park, CA",0.0172
6037551900,"Norwalk, CA",0.0172
6037234901,"Park Mesa Heights, Los Angeles, CA",0.0171
6037209102,"Central LA, Los Angeles, CA",0.0171
6037212305,"Central LA, Los Angeles, CA",0.017
6037535803,"South Gate, CA",0.017
6037530902,"Los Angeles, CA",0.017
6037302401,"Tropico, Glendale, CA",0.017
6037183810,"Northeast Los Angeles, Los Angeles, CA",0.017
6037185310,"Northeast Los Angeles, Los Angeles, CA",0.017
6037243000,"South Los Angeles, Los Angeles, CA",0.017
6037199700,"Central LA, Los Angeles, CA",0.0169
6037204810,"Boyle Heights, Los Angeles, CA",0.0169
6037701801,"Pico, Santa Monica, CA",0.0168
6037128910,"Sherman Oaks, Los Angeles, CA",0.0168
6037552001,"Norwalk, CA",0.0167
6037221210,"Central LA, Los Angeles, CA",0.0167
6037701802,"Pico, Santa Monica, CA",0.0167
6037463200,"Lamanda Park, Pasadena, CA",0.0167
6037480102,"San Gabriel, CA",0.0167
6037550300,"Norwalk, CA",0.0167
6037269601,"Central LA, Los Angeles, CA",0.0164
6037199110,"Montecito Heights, Los Angeles, CA",0.0164
6037530003,"South Montebello, Montebello, CA",0.0164
6037532303,"South Montebello, Commerce, CA",0.0163
6037273402,"Venice, Los Angeles, CA",0.0163
6037183402,"Northeast Los Angeles, Los Angeles, CA",0.0163
6037277400,"Los Angeles, CA",0.0163
6037141101,"Sherman Oaks, Los Angeles, CA",0.0163
6037541802,"Lynwood, CA",0.0163
6037602403,"Hawthorne, CA",0.0163
6037532900,"South Los Angeles, Los Angeles, CA",0.0162
6037531901,"South Montebello, East Los Angeles, CA",0.0162
6037530302,"South Montebello, East Los Angeles, CA",0.0162
6037462301,"Pasadena, CA",0.0162
6037531504,"East Los Angeles, CA",0.0161
6037533203,"Huntington Park, CA",0.0161
6037183221,"Northeast Los Angeles, Los Angeles, CA",0.0161
6037197410,"Echo Park, Los Angeles, CA",0.0161
6037535501,"South Gate, CA",0.0161
6037218220,"Central LA, Los Angeles, CA",0.0161
6037542104,"East Compton, CA",0.0161
6037211202,"Central LA, Los Angeles, CA",0.016
6037602509,"Hawthorne, CA",0.0159
6037536200,"South Gate, CA",0.0159
6037533603,"Bell, CA",0.0158
6037534804,"Huntington Park, CA",0.0158
6037600912,"Inglewood, CA",0.0158
6037139600,"Encino, Los Angeles, CA",0.0158
6037535200,"South Los Angeles, Los Angeles, CA",0.0158
6037189904,"Central LA, Los Angeles, CA",0.0157
6037531701,"South Montebello, East Los Angeles, CA",0.0157
6037541400,"South Los Angeles, Compton, CA",0.0157
6037460800,"North Arroyo, Pasadena, CA",0.0157
6037700200,"Central LA, West Hollywood, CA",0.0157
6037550901,"Downey, CA",0.0157
6037480804,"Alhambra, CA",0.0156
6037532700,"South Los Angeles, Los Angeles, CA",0.0155
6037239802,"South Los Angeles, Los Angeles, CA",0.0155
6037199800,"Northeast Los Angeles, Los Angeles, CA",0.0155
6037187300,"Silver Lake, Los Angeles, CA",0.0154
6037221302,"Central LA, Los Angeles, CA",0.0153
6037462201,"Pasadena, CA",0.0153
6037125600,"North Hollywood, Los Angeles, CA",0.0153
6037189500,"Central LA, Los Angeles, CA",0.0153
6037530801,"Los Angeles, CA",0.0153
6037183610,"Highland Park, Los Angeles, CA",0.0153
6037531101,"Los Angeles, CA",0.0152
6037143100,"Toluca Lake, Los Angeles, CA",0.0152
6037275200,"Los Angeles, CA",0.0152
6037291130,"Harbor, Gardena, CA",0.0152
6037702803,"Los Angeles, CA",0.0152
6037269906,"Palms, Los Angeles, CA",0.0151
6037232110,"South Figueroa Corridor, Los Angeles, CA",0.0151
6037462600,"Pasadena, CA",0.0151
6037534502,"Huntington Park, CA",0.015
6037183701,"Highland Park, Los Angeles, CA",0.015
6037602508,"Hawthorne, CA",0.015
6037204420,"Boyle Heights, Los Angeles, CA",0.015
6037702600,"Culver City, CA",0.015
6037534001,"South Montebello, Bell Gardens, CA",0.0149
6037534302,"Cudahy, CA",0.0149
6037533805,"Bell, CA",0.0149
6037189902,"Central LA, Los Angeles, CA",0.0148
6037203200,"Boyle Heights, Los Angeles, CA",0.0148
6037201301,"Montecito Heights, Los Angeles, CA",0.0148
6037502500,"El Rancho, Pico Rivera, CA",0.0148
6037531604,"East Los Angeles, CA",0.0148
6037462002,"North Central, Pasadena, CA",0.0148
6037228220,"South Los Angeles, Los Angeles, CA",0.0146
6037551800,"Downey, CA",0.0146
6037241120,"South Los Angeles, Los Angeles, CA",0.0146
6037480903,"Alhambra, CA",0.0146
6037269602,"Central LA, Los Angeles, CA",0.0145
6037600302,"South Los Angeles, Los Angeles, CA",0.0145
6037197600,"Echo Park, Los Angeles, CA",0.0144
6037530005,"South Montebello, Montebello, CA",0.0143
6037197500,"Echo Park, Los Angeles, CA",0.0143
6037534405,"Cudahy, CA",0.0143
6037531902,"South Montebello, East Los Angeles, CA",0.0143
6037531702,"South Montebello, East Los Angeles, CA",0.0142
6037224700,"South Los Angeles, Los Angeles, CA",0.0142
6037482402,"Garvey, Rosemead, CA",0.0142
6037208720,"Central LA, Los Angeles, CA",0.0142
6037534101,"South Montebello, Bell Gardens, CA",0.0142
6037502700,"Santa Fe Springs, CA",0.0142
6037204300,"Boyle Heights, Los Angeles, CA",0.0141
6037191720,"Central LA, Los Angeles, CA",0.0141
6037301602,"Riverside Rancho, Glendale, CA",0.0141
6037128702,"Sherman Oaks, Los Angeles, CA",0.0141
6037191301,"East Hollywood, Los Angeles, CA",0.014
6037267700,"Sawtelle, Los Angeles, CA",0.0139
6037535502,"South Gate, CA",0.0139
