"tract","Name","Household_Income_rP_gP_pall"
6037199400,"Mount Washington, Los Angeles, CA",39146
6037463601,"Pasadena, CA",39139
6037482522,"South Montebello, Montebello, CA",39012
6037195903,"Silver Lake, Los Angeles, CA",39009
6037197600,"Echo Park, Los Angeles, CA",39006
6037211410,"Central LA, Los Angeles, CA",38997
6037270200,"Palms, Los Angeles, CA",38987
6037500900,"El Rancho, Pico Rivera, CA",38926
6037195803,"Silver Lake, Los Angeles, CA",38925
6037191901,"Central LA, Los Angeles, CA",38908
6037536200,"South Gate, CA",38903
6037481101,"San Gabriel, CA",38883
6037551900,"Norwalk, CA",38812
6037189201,"Central LA, Los Angeles, CA",38785
6037188100,"Atwater Village, Los Angeles, CA",38767
6037208610,"Central LA, Los Angeles, CA",38717
6037201200,"Northeast Los Angeles, Los Angeles, CA",38705
6037267403,"West Los Angeles, Los Angeles, CA",38704
6037550300,"Norwalk, CA",38673
6037201503,"Northeast Los Angeles, Los Angeles, CA",38566
6037208501,"Central LA, Los Angeles, CA",38562
6037199201,"Montecito Heights, Los Angeles, CA",38537
6037207900,"Central LA, Los Angeles, CA",38529
6037302302,"Pacific - Edison, Glendale, CA",38514
6037533203,"Huntington Park, CA",38486
6037533503,"Huntington Park, CA",38476
6037701702,"Downtown, Santa Monica, CA",38348
6037602200,"Los Angeles, CA",38254
6037189702,"Hollywood Hills, Los Angeles, CA",38251
6037211804,"Central LA, Los Angeles, CA",38239
6037500700,"El Rancho, Pico Rivera, CA",38230
6037224410,"South Los Angeles, Los Angeles, CA",38216
6037530202,"South Montebello, Montebello, CA",38189
6037301801,"Vineyard, Glendale, CA",38142
6037269903,"Palms, Los Angeles, CA",38135
6037534802,"Huntington Park, CA",38110
6037183101,"Eagle Rock, Los Angeles, CA",38053
6037550901,"Downey, CA",38042
6037502301,"Whittier, CA",37999
6037201602,"Northeast Los Angeles, Los Angeles, CA",37930
6037195902,"Silver Lake, Los Angeles, CA",37912
6037530301,"East Los Angeles, CA",37860
6037535902,"South Gate, CA",37853
6037197410,"Echo Park, Los Angeles, CA",37844
6037213401,"Central LA, Los Angeles, CA",37828
6037271802,"Palms, Los Angeles, CA",37817
6037197300,"Echo Park, Los Angeles, CA",37765
6037601301,"Inglewood, CA",37728
6037190301,"Central LA, Los Angeles, CA",37719
6037183103,"Highland Park, Los Angeles, CA",37707
6037211120,"Central LA, Los Angeles, CA",37696
6037267501,"West Los Angeles, Los Angeles, CA",37690
6037532500,"Huntington Park, CA",37685
6037190520,"Central LA, Los Angeles, CA",37664
6037191302,"Central LA, Los Angeles, CA",37656
6037551101,"Downey, CA",37655
6037535901,"South Gate, CA",37625
6037536103,"South Gate, CA",37615
6037226002,"Central LA, Los Angeles, CA",37603
6037183620,"Northeast Los Angeles, Los Angeles, CA",37577
6037208710,"Central LA, Los Angeles, CA",37577
6037219500,"South Los Angeles, Los Angeles, CA",37565
6037269700,"Beverlywood, Los Angeles, CA",37527
6037530203,"South Montebello, Montebello, CA",37487
6037534700,"Huntington Park, CA",37482
6037601202,"Inglewood, CA",37468
6037211802,"Central LA, Los Angeles, CA",37450
6037603900,"Lawndale, CA",37438
6037553701,"Paramount, CA",37417
6037535605,"South Gate, CA",37406
6037183300,"Northeast Los Angeles, Los Angeles, CA",37389
6037531102,"Los Angeles, CA",37374
6037535701,"South Gate, CA",37325
6037532001,"South Montebello, Montebello, CA",37319
6037553400,"Downey, CA",37294
6037273600,"Venice, Los Angeles, CA",37270
6037199202,"Montecito Heights, Los Angeles, CA",37260
6037530101,"South Montebello, Montebello, CA",37236
6037192420,"Central LA, Los Angeles, CA",37181
6037212101,"Central LA, Los Angeles, CA",37168
6037195400,"Silver Lake, Los Angeles, CA",37164
6037980019,"Pacific Palisades, Los Angeles, CA",36991
